title,place_id,latitude,longitude,rating,reviews,types,type_ids,h3_r6,h3_r8,h3_r10,h3_r12
Catory Pizza สาขาประชาอุทิศ,ChIJP5SViq6j4jAR6C9tANeGbcM,13.6529185,100.4968437,4.9,936.0,"[""Pizza restaurant""]","[""pizza_restaurant""]",8664a4b27ffffff,8864a4b23dfffff,8a64a4b23c57fff,8c64a4b23cec9ff
ERA VALLEY,ChIJS_B0uzKj4jARyoRkKkXMRo4,13.6570254,100.4687203,4.6,53.0,"[""Restaurant""]","[""restaurant""]",8664a4b2fffffff,8864a4b2e5fffff,8a64a4b2e4cffff,8c64a4b2e4c13ff
HUANG หวง เกี๊ยวจีน 黄餃子館,ChIJGyEeYxSZ4jAREqdmdTa_mQ4,13.658768199999999,100.4686248,4.9,83.0,"[""Chinese restaurant"",""Chinese takeaway""]","[""chinese_restaurant"",""chinese_takeaway""]",8664a4b2fffffff,8864a4b05bfffff,8a64a4b2e4dffff,8c64a4b2e4db5ff
เนื้อเทพ NueaThep (สาขาประชาอุทิศ),ChIJX-tIU6aj4jARBc4SLkbXKM8,13.651995699999999,100.497408,4.7,29.0,"[""Restaurant"",""Noodle shop""]","[""restaurant"",""noodle_shop""]",8664a4b27ffffff,8864a4b23dfffff,8a64a4b23c57fff,8c64a4b23c541ff
Indian Barbeque Nation 57,ChIJBUSnKQqf4jAR_9kF8Wjqwu8,13.6458769,100.4984818,4.6,43.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b239fffff,8a64a4b23997fff,8c64a4b239959ff
SAREM,ChIJ5Zm6FI6j4jARdidi3qpcvI8,13.6382972,100.5012509,4.7,16.0,"[""Thai restaurant""]","[""thai_restaurant""]",8664a4b27ffffff,8864a4b203fffff,8a64a4b2039ffff,8c64a4b203989ff
After You Dessert Cafe - Susco Phutthabucha,ChIJ2zWuDkWj4jARW4erWTVj2mk,13.651349699999999,100.48888579999999,4.8,19.0,"[""Dessert restaurant""]","[""dessert_restaurant""]",8664a4b27ffffff,8864a4b231fffff,8a64a4b2315ffff,8c64a4b2315a3ff
COOLMAN CUISINE PASTA,ChIJXXMKu6Wj4jARJo5cb2ior88,13.638423399999999,100.5006571,5.0,1.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b203fffff,8a64a4b2039ffff,8c64a4b203991ff
หลานม่า - Taiwanese Dessert,ChIJLS1xAwCj4jARgJqnuzMdYDw,13.64729,100.4951662,4.7,34.0,"[""Dessert restaurant"",""Bakery""]","[""dessert_restaurant"",""bakery""]",8664a4b27ffffff,8864a4b239fffff,8a64a4b23887fff,8c64a4b238859ff
เรื่องของกะเพรา,ChIJN0EFdqOj4jARgOtRZ4bVKeU,13.658690199999999,100.47215,4.7,15.0,"[""Thai restaurant""]","[""thai_restaurant""]",8664a4b2fffffff,8864a4b2e5fffff,8a64a4b2e49ffff,8c64a4b2e49d5ff
麻麻 - MAMA Rooftop ม๋าม๋า ครบเครื่องเรื่องหมาล่า,ChIJGddbtdWj4jARkn3Ff1Wxs3s,13.6499434,100.49668919999999,5.0,9.0,"[""Chinese restaurant""]","[""chinese_restaurant""]",8664a4b27ffffff,8864a4b23dfffff,8a64a4b23c67fff,8c64a4b23c60bff
BaanBeef Butchery,ChIJq5wtXEyj4jARa6sWYgF49Xw,13.6502044,100.4981476,4.6,14.0,"[""Barbecue restaurant""]","[""barbecue_restaurant""]",8664a4b27ffffff,8864a4b23dfffff,8a64a4b23d5ffff,8c64a4b23d5abff
Du R cafe',ChIJFbaI7vWj4jAR0KRqgb-Zw1Y,13.641718,100.50038529999999,4.5,23.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b207fffff,8a64a4b20667fff,8c64a4b20661dff
Dino Papa Express,ChIJV_0B75ej4jARDvo_slcu9mQ,13.6508957,100.49164139999999,4.6,93.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b231fffff,8a64a4b2310ffff,8c64a4b2310abff
Baan Kaw Suan Pak,ChIJK3WKBGGj4jARlFl2X3UGRic,13.652654799999999,100.50460869999999,4.9,8.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b22bfffff,8a64a4b23db7fff,8c64a4b23db47ff
Nopparat Thai classical dance & restaurant,ChIJU8RSYPuh4jAR-hYYrs-6Wg0,13.682706699999999,100.5392834,4.0,98.0,"[""Thai restaurant""]","[""thai_restaurant""]",8664a4b37ffffff,8864a4b30bfffff,8a64a4b30a8ffff,8c64a4b30aab7ff
Hajime Robot Restaurant Rama 3 (ร้านอาหารฮาจิเมะโรบอท พระราม 3),ChIJayNYpeOh4jARD3Aw4pGE0pE,13.6850449,100.54447119999999,4.0,321.0,"[""Japanese restaurant"",""Buffet restaurant"",""Restaurant""]","[""japanese_restaurant"",""buffet_restaurant"",""restaurant""]",8664a4b37ffffff,8864a4b301fffff,8a64a4b30157fff,8c64a4b30151dff
MK Restaurants Lotus’s Bangpakok,ChIJC9b_B26i4jARuVFds2A1v10,13.6780341,100.5014813,2.7,10.0,"[""Sukiyaki and Shabu Shabu restaurant""]","[""shabu_shabu_and_sukiyaki_restaurant""]",8664a4b07ffffff,8864a4b041fffff,8a64a4b04197fff,8c64a4b041929ff
ไข่หวานบ้านซูชิ สาขาประชาอุทิศ,ChIJ89mnRNGj4jARXFw7F8kdlu8,13.6602254,100.5013386,3.9,120.0,"[""Sushi restaurant"",""Restaurant""]","[""sushi_restaurant"",""restaurant""]",8664a4b27ffffff,8864a4b223fffff,8a64a4b2225ffff,8c64a4b2225adff
NAVA Restaurant,ChIJl4v-132Z4jAR3H1_b0Ihtmk,13.708586799999999,100.5069865,4.8,797.0,"[""Restaurant""]","[""restaurant""]",8664a4b07ffffff,8864a4b065fffff,8a64a4b064c7fff,8c64a4b064c09ff
ร้านไลลาเป็ดย่างฮ่องกง,ChIJ1dhggtOj4jARyInPynXzQbc,13.642271,100.5034285,,,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b207fffff,8a64a4b20757fff,8c64a4b207527ff
ตัวกลม แก้มป่อง หมูทอด เนื้อทอด,ChIJfZaCDx-j4jARXMuWCUXQEns,13.651206799999999,100.48237639999999,,,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b233fffff,8a64a4b2330ffff,8c64a4b233089ff
BINGSU HOK-ED byNathong,ChIJyw3KXf6j4jARUXYUBtkHLuE,13.6442587,100.4991234,3.4,5.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b207fffff,8a64a4b2065ffff,8c64a4b206597ff
Nice Korean BBQ - บุฟเฟต์ปิ้งย่างเกาหลี,ChIJBTDbSDGj4jARXjtykKAp1VU,13.6345765,100.51929539999999,4.7,87.0,"[""Korean barbecue restaurant""]","[""korean_barbecue_restaurant""]",8664a4b27ffffff,8864a4b20dfffff,8a64a4b20daffff,8c64a4b20da83ff
หมูทอดในตำนานสาขาประชาอุทิศ33,ChIJD7GPZiij4jARP_7dADdEEZk,13.656775999999999,100.49939529999999,2.0,11.0,"[""Fast food restaurant""]","[""fast_food_restaurant""]",8664a4b27ffffff,8864a4b23dfffff,8a64a4b23527fff,8c64a4b23526dff
เหวินเปาซาลาเปา,ChIJ0xTd9sWZ4jARGVSjfRphL6s,13.662132999999999,100.4706832,4.0,14.0,"[""Dim sum restaurant""]","[""dim_sum_restaurant""]",8664a4b07ffffff,8864a4b05bfffff,8a64a4b05baffff,8c64a4b05baddff
Restaurant Patt,ChIJE2KxFiWZ4jAR8lVTUarDqJ4,13.6962823,100.516869,4.9,63.0,"[""Fine dining restaurant""]","[""fine_dining_restaurant""]",8664a4b37ffffff,8864a4b06dfffff,8a64a4b06d17fff,8c64a4b06d14dff
ณัฐวรรณโภชนาอาหารตามสั่ง,ChIJ-Ye2s_Si4jAR6yxFErGANIs,13.6679312,100.47994639999999,4.2,122.0,"[""Restaurant""]","[""restaurant""]",8664a4b07ffffff,8864a4b05dfffff,8a64a4b05c67fff,8c64a4b05c625ff
LengHong RYUHO - เล่งหงษ์ ริวโฮ,ChIJveANx86j4jAR4lCIsnMhuW0,13.670832599999999,100.454219,4.7,133.0,"[""Japanese restaurant""]","[""japanese_restaurant""]",8664a4b2fffffff,8864a4b2a5fffff,8a64a4b2a42ffff,8c64a4b2a428dff
ก๋วยเตี๋ยวไก่,ChIJoQuHkZuj4jARms-67aw1VDM,13.6597777,100.5030299,4.0,1.0,"[""Noodle shop""]","[""noodle_shop""]",8664a4b27ffffff,8864a4b223fffff,8a64a4b22257fff,8c64a4b22256dff
Namana ข้าวไก่อบนุ่ม Halal,ChIJHbm7g0Sj4jARiT_f5I4SW8Y,13.6472188,100.5183849,4.7,3.0,"[""Halal restaurant""]","[""halal_restaurant""]",8664a4b27ffffff,8864a4b229fffff,8a64a4b22977fff,8c64a4b229739ff
สเต็กปากมันส์,ChIJZ2mDRy6j4jAR3lgsc2hfQUw,13.642927799999999,100.4935289,5.0,3.0,"[""Steak house""]","[""steak_house""]",8664a4b27ffffff,8864a4b239fffff,8a64a4b2382ffff,8c64a4b2382d9ff
kuncleleaw,ChIJVTyXBgCj4jART0feZdbA79s,13.6448953,100.49861969999999,4.8,24.0,"[""Korean restaurant""]","[""korean_restaurant""]",8664a4b27ffffff,8864a4b239fffff,8a64a4b239a7fff,8c64a4b239a25ff
ยักษ์กินแซลมอน Yak Kin Salmon,ChIJ4ynTxpKj4jARXyaxxzGw7sQ,13.6508609,100.4838558,4.9,49.0,"[""Japanese restaurant""]","[""japanese_restaurant""]",8664a4b27ffffff,8864a4b233fffff,8a64a4b23307fff,8c64a4b23304bff
A Ramen ราเมงข้อสอบ (Pracha Uthit),ChIJre3L1Hej4jARuuioe-zVgPI,13.6529034,100.49672919999999,4.7,233.0,"[""Ramen restaurant""]","[""ramen_restaurant""]",8664a4b27ffffff,8864a4b23dfffff,8a64a4b23c57fff,8c64a4b23c535ff
The Garden Dough,ChIJH235k1Wi4jARyRRXMtUofBE,13.6480144,100.4850534,4.5,279.0,"[""Italian restaurant""]","[""italian_restaurant""]",8664a4b27ffffff,8864a4b23bfffff,8a64a4b23aaffff,8c64a4b23aab9ff
Suki Teenoi Susco Phuttha Bucha,ChIJT-MmY-mj4jARBxgvjap0hf0,13.6513399,100.4889934,4.4,589.0,"[""Buffet restaurant""]","[""buffet_restaurant""]",8664a4b27ffffff,8864a4b231fffff,8a64a4b2315ffff,8c64a4b2315a1ff
CHEER BAN やきにく,ChIJr5IxUc2j4jARHN5mB9YeKwI,13.649978299999999,100.47996669999999,4.7,177.0,"[""Japanese restaurant""]","[""japanese_restaurant""]",8664a4b27ffffff,8864a4b233fffff,8a64a4b23347fff,8c64a4b233451ff
หนีแม่มายำ-ยำรสเด็ดสาขาพุทธบูชา,ChIJ0VcgVg6j4jARbAnD-vU2dME,13.651138999999999,100.4893582,4.6,40.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b231fffff,8a64a4b2315ffff,8c64a4b2315e7ff
ขอ หั้ย บอก,ChIJIUWH2_6i4jARQTlVBBjAlIo,13.6498733,100.48143879999999,4.4,30.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b233fffff,8a64a4b23377fff,8c64a4b233751ff
Bonchon Prachautit 45,ChIJo5U23C-j4jAR_oFzTN4NRAQ,13.6521581,100.4969515,4.2,101.0,"[""Korean restaurant""]","[""korean_restaurant""]",8664a4b27ffffff,8864a4b23dfffff,8a64a4b23c57fff,8c64a4b23c50bff
Riche Bar,ChIJUwbHyaOj4jARPXjkp-hbkG4,13.645321,100.4778905,4.5,71.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b2edfffff,8a64a4b2ed1ffff,8c64a4b2ed1a9ff
Kaw-Yai Seafood,ChIJXUZLcVai4jAR5JXWQjFnuj4,13.6511929,100.48649859999999,4.3,1040.0,"[""Seafood restaurant""]","[""seafood_restaurant""]",8664a4b27ffffff,8864a4b231fffff,8a64a4b2306ffff,8c64a4b2306e3ff
Risetto Ramen,ChIJvxtU82m94jARbBGsGs6eb-s,13.6396567,100.4984624,5.0,5.0,"[""Japanese restaurant""]","[""japanese_restaurant""]",8664a4b27ffffff,8864a4b203fffff,8a64a4b2028ffff,8c64a4b202813ff
OIKOS Cafe & Restaurant,ChIJm7IQK9a94jAR_9ZJMxhy7SY,13.678403099999999,100.4308526,4.4,243.0,"[""Restaurant""]","[""restaurant""]",8664a4b0fffffff,8864a4b0c1fffff,8a64a4b0c147fff,8c64a4b0c1411ff
ลำขนาด อาหารเหนือ - Lum ka nad Restaurant,ChIJD6LKJEe94jARYcxHQHr7XV4,13.6727651,100.42376329999999,4.3,32.0,"[""Thai restaurant""]","[""thai_restaurant""]",8664a4b0fffffff,8864a4b0cbfffff,8a64a4b0ca67fff,8c64a4b0ca631ff
BBQ Homemade By C.Ton,ChIJhY7QVU-j4jARydQWjazvhXc,13.6518651,100.4878464,,,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b231fffff,8a64a4b23077fff,8c64a4b230711ff
มามา-กัญ (Mamacan),ChIJ2ykkCLij4jARd-Sn4ci_E-g,13.6431034,100.5010149,5.0,6.0,"[""Restaurant"",""Cafe""]","[""restaurant"",""cafe""]",8664a4b27ffffff,8864a4b207fffff,8a64a4b20677fff,8c64a4b20673bff
คั่วไก่เจ๊เนี้ยว2524,ChIJ3YyxGMCj4jARFy4MoUU_L8c,13.636601899999999,100.5017586,4.5,164.0,"[""Restaurant"",""Noodle shop""]","[""restaurant"",""noodle_shop""]",8664a4b27ffffff,8864a4b203fffff,8a64a4b203a7fff,8c64a4b203a37ff
เครปยักษ์ไส้ทะลัก,ChIJkxrk4Oij4jAR4381bf1DUd0,13.6502992,100.49669379999999,4.5,41.0,"[""Creperie""]","[""creperie""]",8664a4b27ffffff,8864a4b23dfffff,8a64a4b23c67fff,8c64a4b23c607ff
KFC @Susco square,ChIJ7crcpPaj4jAR3QlRUKokiWI,13.6509124,100.4887864,3.9,21.0,"[""Fast food restaurant""]","[""fast_food_restaurant""]",8664a4b27ffffff,8864a4b231fffff,8a64a4b2315ffff,8c64a4b231587ff
ร้านสุดสงวน by ศรแก้ว&colour,ChIJwzm4WwCj4jARDACiu0lu_9M,13.639825499999999,100.4998632,4.0,3.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b203fffff,8a64a4b20287fff,8c64a4b20286dff
ต้มเลือดหมูท่านเปา ประชาอุทิศ 62,ChIJXx6MOwCj4jARGMX5QqIoacQ,13.6339259,100.50272319999999,5.0,3.0,"[""Thai restaurant""]","[""thai_restaurant""]",8664a4b27ffffff,8864a4b201fffff,8a64a4b2006ffff,8c64a4b20336dff
เฮือนของพ่อ My Daddy's Home,ChIJuWz8R9mj4jARa0ymfEPdH5M,13.658292999999999,100.4713293,4.8,250.0,"[""Restaurant"",""Antique store"",""Bakery"",""Cafe"",""Coffee shop"",""Gift shop"",""Pottery store""]","[""restaurant"",""antique_store"",""bakery"",""cafe"",""coffee_shop"",""gift_shop"",""pottery_store""]",8664a4b2fffffff,8864a4b2e5fffff,8a64a4b2e48ffff,8c64a4b2e48bdff
ครัวกันเอง,ChIJm5ZRHxqj4jARVgsfB1L8ziY,13.6512035,100.4842956,4.6,49.0,"[""Restaurant""]","[""restaurant""]",8664a4b27ffffff,8864a4b233fffff,8a64a4b23337fff,8c64a4b233317ff
Cholos BKK Charoen Krung,ChIJwxEi4oeZ4jARv1tApnxWFy8,13.7306785,100.51531,4.7,343.0,"[""Mexican restaurant"",""Burrito restaurant"",""Taco restaurant""]","[""mexican_restaurant"",""burrito_restaurant"",""taco_restaurant""]",8664a4b17ffffff,8864a4b155fffff,8a64a4b1541ffff,8c64a4b154187ff
White Flower Factory - ครัวดอกไม้ขาว,ChIJ937RdtKe4jARPRuzBAQLNxc,13.745330399999999,100.5337883,4.6,1431.0,"[""Thai restaurant"",""Bakery"",""Dessert shop"",""Fusion restaurant""]","[""thai_restaurant"",""bakery"",""dessert_shop"",""fusion_restaurant""]",8664a4b17ffffff,8864a4b16bfffff,8a64a4b16ac7fff,8c64a4b16ac43ff
EKKA Indian Grill and Bar,ChIJW20-keCf4jARNnKUPuLkHI4,13.7298829,100.53108119999999,4.8,630.0,"[""Indian restaurant"",""Bar"",""Restaurant""]","[""indian_restaurant"",""bar"",""restaurant""]",8664a4b17ffffff,8864a4b141fffff,8a64a4b140cffff,8c64a4b140cc1ff
Siam Yacht Club,ChIJa_QR2BmZ4jARsm5cD7Q1ehk,13.7290292,100.5138838,4.7,411.0,"[""Seafood restaurant"",""Bar""]","[""seafood_restaurant"",""bar""]",8664a4b17ffffff,8864a4b155fffff,8a64a4b15477fff,8c64a4b154549ff
The Shack Bangkok,ChIJ4RFNvWCd4jARElwEvZGUWT8,13.729104999999999,100.52866159999999,4.7,635.0,"[""Hamburger restaurant"",""Bar & grill"",""Breakfast restaurant"",""Coffee shop"",""Restaurant"",""Steak house""]","[""hamburger_restaurant"",""bar_and_grill"",""breakfast_restaurant"",""coffee_shop"",""restaurant"",""steak_house""]",8664a4b17ffffff,8864a4b143fffff,8a64a4b14387fff,8c64a4b14380bff
Ojo Bangkok,ChIJkyzUoEyZ4jARDEHlKpWbX50,13.723645,100.528241,4.5,2104.0,"[""Mexican restaurant""]","[""mexican_restaurant""]",8664a4b17ffffff,8864a4b14bfffff,8a64a4b14a8ffff,8c64a4b14a897ff
Kalamansi kafe,ChIJBw6CrSCf4jAR43DSLO5cSsY,13.721182899999999,100.5377034,4.9,835.0,"[""Filipino restaurant""]","[""filipino_restaurant""]",8664a4b17ffffff,8864a4b149fffff,8a64a4b148f7fff,8c64a4b148f4bff
iODE,ChIJVV_VBCqf4jARXB3NdInE6ak,13.719433599999999,100.5476443,4.8,436.0,"[""French restaurant""]","[""french_restaurant""]",8664a4b37ffffff,8864a4b327fffff,8a64a4b3261ffff,8c64a4b3261c5ff
Bonjour Bonsoir - Modern Bouillon & Café,ChIJHc_k9F-f4jARpDqAFREosbY,13.729409899999999,100.5482421,4.9,67.0,"[""Restaurant"",""Bakery"",""Bar"",""Cafe"",""French steakhouse restaurant"",""Live music venue"",""Lunch restaurant"",""Modern French restaurant"",""Pastry shop"",""Steak house""]","[""restaurant"",""bakery"",""bar"",""cafe"",""french_steakhouse_restaurant"",""live_music_venue"",""lunch_restaurant"",""modern_french_restaurant"",""pastry_shop"",""steak_house""]",8664a4b17ffffff,8864a48493fffff,8a64a4849367fff,8c64a4849361bff
Armenio's Modern Grandma,ChIJ29JGW2if4jARCjVU6F91zDc,13.7219907,100.5479364,4.8,187.0,"[""Italian restaurant"",""Southern Italian restaurant""]","[""italian_restaurant"",""southern_italian_restaurant""]",8664a4b37ffffff,8864a4b327fffff,8a64a4b3268ffff,8c64a4b3268e1ff
Popote French bistro & café - Suan Phlu,ChIJF5SvjLGf4jARzIdAfl37K_Y,13.7197487,100.538253,4.9,247.0,"[""Cafe"",""Bistro"",""Breakfast restaurant"",""Brunch restaurant"",""Coffee shop""]","[""cafe"",""bistro"",""breakfast_restaurant"",""brunch_restaurant"",""coffee_shop""]",8664a4b17ffffff,8864a4b149fffff,8a64a4b14807fff,8c64a4b148031ff
Jyak & Lym,ChIJkcpn3gOf4jAR6fsrLOJZauw,13.719453699999999,100.53824379999999,4.9,414.0,"[""Malaysian restaurant"",""Nyonya restaurant"",""Restaurant""]","[""malaysian_restaurant"",""nyonya_restaurant"",""restaurant""]",8664a4b17ffffff,8864a4b149fffff,8a64a4b14807fff,8c64a4b148003ff
Saffron Sky Garden,ChIJQz7QYbuf4jARsvu4iVwHRio,13.723564699999999,100.5396054,4.7,46.0,"[""Thai restaurant"",""Bar"",""Fine dining restaurant""]","[""thai_restaurant"",""bar"",""fine_dining_restaurant""]",8664a4b17ffffff,8864a4b149fffff,8a64a4b14897fff,8c64a4b148913ff
Noodle Bowl Chiang Mai,ChIJvft1u8o72jARu33jrQpohwY,18.8004256,98.95880749999999,4.9,100.0,"[""Korean restaurant""]","[""korean_restaurant""]",866482c6fffffff,886482c697fffff,8a6482c69657fff,8c6482c696529ff
YOBO (โยโบ),ChIJNSTScAA72jAR7Ej1oPzbPQE,18.80736,98.9602141,4.9,116.0,"[""Coffee shop"",""Breakfast restaurant"",""Health food restaurant"",""Health food store"",""Vietnamese restaurant""]","[""coffee_shop"",""breakfast_restaurant"",""health_food_restaurant"",""health_food_store"",""vietnamese_restaurant""]",866482c6fffffff,886482136dfffff,8a6482136daffff,8c6482136dac1ff
หมวย ข้าวซอย Muay Khao Soi ขนมจีนน้ำเงี้ยว อาหารเหนือ แคบหมู น้ำพริกหนุ่ม แกงเขียวหวาน เชียงใหม่,ChIJ9d0-4EQx2jARMqOkQAOcCGo,18.7955567,98.9652759,4.8,147.0,"[""Restaurant"",""Noodle shop"",""Rice restaurant"",""Southeast Asian restaurant"",""Thai restaurant""]","[""restaurant"",""noodle_shop"",""rice_restaurant"",""south_east_asian_restaurant"",""thai_restaurant""]",866482c6fffffff,886482c691fffff,8a6482c6908ffff,8c6482c6908adff
Away Home,ChIJi8KB_QQx2jARdGS0RJyGiKc,18.8101822,98.96468449999999,4.6,35.0,"[""Restaurant""]","[""restaurant""]",866482c6fffffff,886482c6bbfffff,8a6482c6bad7fff,8c6482c6bad53ff
Real Good Pasta,ChIJz4kQRQA72jAR7XAVesj-SyQ,18.7977788,98.9671874,4.5,134.0,"[""Restaurant"",""Italian restaurant""]","[""restaurant"",""italian_restaurant""]",866482c6fffffff,886482c695fffff,8a6482c69447fff,8c6482c694451ff
Clove & Co,ChIJ4Q7pzrY72jARPqCcEWOUfCo,18.7992819,98.9687184,4.7,37.0,"[""Restaurant""]","[""restaurant""]",866482c6fffffff,886482c695fffff,8a6482c6940ffff,8c6482c694097ff
Lido,ChIJP-NaTYur_TARnWhlMfxusmE,12.5664904,99.9623692,4.7,595.0,"[""Italian restaurant"",""Restaurant""]","[""italian_restaurant"",""restaurant""]",86658bb5fffffff,88658bb5c3fffff,8a658bb5c21ffff,8c658bb5c21bbff
Brunch & Brew by HOC สาขาหัวหิน มาร์เก็ตวิลเลจ,ChIJ1TMLwo-r_TARFDTeRI-bHYI,12.5575628,99.9604509,4.8,432.0,"[""Brunch restaurant"",""Bakery"",""Bead store"",""Breakfast restaurant"",""Cake shop"",""Coffee shop"",""Lunch restaurant"",""Soft drinks shop""]","[""brunch_restaurant"",""bakery"",""bead_store"",""breakfast_restaurant"",""cake_shop"",""coffee_shop"",""lunch_restaurant"",""soft_drinks_shop""]",86658bb5fffffff,88658bb5ddfffff,8a658bb5ddaffff,8c658bb5dda83ff
Rocks Restaurant,ChIJ_68PQ5ur_TARfdWag1CKyJo,12.5637829,99.9624954,4.9,55.0,"[""Restaurant""]","[""restaurant""]",86658bb5fffffff,88658bb5c3fffff,8a658bb5c22ffff,8c658bb5c22d7ff
Praça,ChIJXdeVNair_TARbINoxx-ziVU,12.5665701,99.9626862,4.7,319.0,"[""Restaurant"",""Thai restaurant""]","[""restaurant"",""thai_restaurant""]",86658bb5fffffff,88658bb5c3fffff,8a658bb5c21ffff,8c658bb5c21bdff
Big Bull Steakhouse Hua Hin,ChIJ3QsTRJyr_TARjUyH8AveF5k,12.5732378,99.9593191,4.8,466.0,"[""Steak house""]","[""steak_house""]",86658bb5fffffff,88658bb589fffff,8a658bb58807fff,8c658bb58800bff
Mukti Hua Hin,ChIJC4kIIsEB_TARY_PAk0WSdn0,12.5758545,99.91773979999999,4.8,166.0,"[""Indian restaurant""]","[""indian_restaurant""]",86658ba67ffffff,88658bb593fffff,8a658bb5924ffff,8c658bb592481ff
Trattoria by Andreas,ChIJc6X4hJar_TARFDLK5KgmrYU,12.5337517,99.9658262,4.4,931.0,"[""Italian restaurant""]","[""italian_restaurant""]",86658bb47ffffff,88658bb439fffff,8a658bb4385ffff,8c658bb4385a3ff
Bluebox Bar and Bistro,ChIJTcIosYKr_TARoGCgra6Zbfw,12.5546355,99.9536481,4.8,92.0,"[""Bar & grill"",""Cocktail bar"",""Hamburger restaurant"",""Mexican restaurant"",""Restaurant"",""Sandwich shop"",""Thai restaurant""]","[""bar_and_grill"",""cocktail_bar"",""hamburger_restaurant"",""mexican_restaurant"",""restaurant"",""sandwich_shop"",""thai_restaurant""]",86658bb5fffffff,88658bb5d9fffff,8a658bb5d89ffff,8c658bb5d89e9ff
coffee mood cafe and restaurant hua hin,ChIJnTAl2Eer_TARcSiZbMkLUtY,12.5797815,99.9220733,4.8,42.0,"[""Restaurant""]","[""restaurant""]",86658ba67ffffff,88658bb593fffff,8a658bb5928ffff,8c658bb5928d5ff
DOU' 荳 - โต้ว พุทธบูชา,ChIJydD5ZACj4jARoDeua0SYVls,13.647146099999999,100.479917,4.6,13.0,"[""Dessert restaurant""]","[""dessert_restaurant""]",8664a4b27ffffff,8864a4b2edfffff,8a64a4b2edb7fff,8c64a4b2edb17ff
Paradise Lost Bangkok,ChIJa8Af72WZ4jARxXpUbgzIsdw,13.7472745,100.5269572,4.6,201.0,"[""Restaurant""]","[""restaurant""]",8664a4b17ffffff,8864a4b10dfffff,8a64a4b10c8ffff,8c64a4b10c813ff
Ko' Edo,ChIJT1SX7Q-f4jARPs72c600vVQ,13.730033299999999,100.53424109999999,4.9,28.0,"[""Japanese restaurant""]","[""japanese_restaurant""]",8664a4b17ffffff,8864a4b141fffff,8a64a4b140affff,8c64a4b140abbff
ป.รุ่งโรจน์โอชา,ChIJdw450_KZ4jAREpXXTERw_-Q,13.734376399999999,100.52428019999999,4.9,28.0,"[""Restaurant"",""Noodle shop"",""Rice restaurant"",""Thai restaurant""]","[""restaurant"",""noodle_shop"",""rice_restaurant"",""thai_restaurant""]",8664a4b17ffffff,8864a4b109fffff,8a64a4b10907fff,8c64a4b109061ff
Test Kitchen By TFS,ChIJqQ2DDgOZ4jARTpTNi_hhIjE,13.7355551,100.5239642,4.7,112.0,"[""Restaurant"",""Breakfast restaurant"",""Coworking space"",""Event venue"",""Lunch restaurant"",""Coffee shop"",""Tea store""]","[""restaurant"",""breakfast_restaurant"",""coworking_space"",""event_venue"",""lunch_restaurant"",""coffee_shop"",""tea_store""]",8664a4b17ffffff,8864a4b109fffff,8a64a4b10917fff,8c64a4b1091edff
Min Sushi by Sushi Cottage ずしコテージ,ChIJC_IG4WGZ4jARJil71QyJnJQ,13.740359,100.525112,4.8,247.0,"[""Sushi restaurant""]","[""sushi_restaurant""]",8664a4b17ffffff,8864a4b10dfffff,8a64a4b10d6ffff,8c64a4b10d6a7ff
Maji Curry,ChIJ_53rJw6f4jARqQOQOs-5dkk,13.746146399999999,100.5323825,4.6,1282.0,"[""Japanese curry restaurant""]","[""japanese_curry_restaurant""]",8664a4b17ffffff,8864a4b16bfffff,8a64a4b16acffff,8c64a4b16aca9ff
KOKO SIAM 1996,ChIJj1il7lyf4jARZdCtq6GTvHg,13.7447544,100.5327342,4.1,508.0,"[""Thai restaurant"",""Vegetarian restaurant""]","[""thai_restaurant"",""vegetarian_restaurant""]",8664a4b17ffffff,8864a4b16bfffff,8a64a4b16aeffff,8c64a4b16ae87ff
ร้านมังสวิรัติ Sumalee Vegetarian,ChIJkw9g4m-Z4jARUh6BKgHS2Bc,13.7463114,100.52027969999999,4.7,34.0,"[""Vegetarian restaurant""]","[""vegetarian_restaurant""]",8664a4b17ffffff,8864a4b101fffff,8a64a4b1019ffff,8c64a4b1019d9ff
Small Dinner Club,ChIJoc4dD3aZ4jAR8cIvFuqN2pE,13.7282057,100.5160011,4.7,71.0,"[""Restaurant""]","[""restaurant""]",8664a4b17ffffff,8864a4b155fffff,8a64a4b15427fff,8c64a4b154217ff
